id;image;image_content_type;time
1;../fake-data/blob/hipster.png;image/png;2021-12-09T09:18:05
2;../fake-data/blob/hipster.png;image/png;2021-12-09T13:20:47
3;../fake-data/blob/hipster.png;image/png;2021-12-09T17:08:09
4;../fake-data/blob/hipster.png;image/png;2021-12-09T08:45:05
5;../fake-data/blob/hipster.png;image/png;2021-12-09T04:10:30
6;../fake-data/blob/hipster.png;image/png;2021-12-09T14:41:14
7;../fake-data/blob/hipster.png;image/png;2021-12-10T01:49:07
8;../fake-data/blob/hipster.png;image/png;2021-12-09T12:58:08
9;../fake-data/blob/hipster.png;image/png;2021-12-09T12:09:49
10;../fake-data/blob/hipster.png;image/png;2021-12-09T10:15:57
